name@System.system_id,name@Attributes.attrib_id,name@AttribValues.value_id,value
'BD+15 2847','Population','manual Number','37932238'
'BD+15 2847','Security','High',''
'BD+16 2722','Allegiance','Federation',''
'BD+16 2722','Economy','Extraction',''
'BD+16 2722','Economy','Refinery',''
'BD+16 2722','Government','Corporate',''
'BD+16 2722','Population','manual Number','24421'
'BD+16 2722','Security','Low',''
'BD+22 2632','Allegiance','Alliance',''
'BD+22 2632','Economy','Industrial',''
'BD+22 2632','Government','Confederacy',''
'BD+22 2632','Population','manual Number','2330693'
'BD+22 2632','Security','Medium',''
'BD+23 2640','Allegiance','Alliance',''
'BD+23 2640','Economy','Industrial',''
'BD+23 2640','Economy','Refinery',''
'BD+23 2640','Government','Dictatorship',''
'BD+23 2640','Population','manual Number','3893949'
'BD+23 2640','Security','High',''
'BD+47 2112','Allegiance','Federation',''
'BD+47 2112','Economy','Extraction',''
'BD+47 2112','Government','Confederacy',''
'BD+47 2112','Population','manual Number','2500'
'BD+47 2112','Security','Low',''
'BD-14 3326','Allegiance','Independent',''
'BD-14 3326','Economy','Agriculture',''
'BD-14 3326','Economy','Industrial',''
'BD-14 3326','Government','Democracy',''
'BD-14 3326','Population','manual Number','4294967295'
'BD-14 3326','Security','High',''
'BERKANAN','Allegiance','Alliance',''
'BERKANAN','Economy','Extraction',''
'BERKANAN','Economy','Refinery',''
'BERKANAN','Government','Cooperative',''
'BERKANAN','Population','manual Number','64523'
'BERKANAN','Security','Medium',''
'BETSE AIBES','Allegiance','Independent',''
'BETSE AIBES','Economy','Industrial',''
'BETSE AIBES','Economy','Refinery',''
'BETSE AIBES','Government','Democracy',''
'BETSE AIBES','Population','manual Number','1706659'
'BETSE AIBES','Security','Medium',''
'BPM 89444','Allegiance','Alliance',''
'BPM 89444','Economy','Agriculture',''
'BPM 89444','Economy','Terraforming',''
'BPM 89444','Government','Democracy',''
'BPM 89444','Population','manual Number','330803328'
'BPM 89444','Security','Medium',''
'CHUKCHISALK','Allegiance','Federation',''
'CHUKCHISALK','Economy','Extraction',''
'CHUKCHISALK','Economy','Refinery',''
'CHUKCHISALK','Government','Corporate',''
'CHUKCHISALK','Population','manual Number','18237'
'CHUKCHISALK','Security','Low',''
'DEA MOTRONA','Allegiance','Anarchy',''
'DEA MOTRONA','Economy','Extraction',''
'DEA MOTRONA','Economy','Refinery',''
'DEA MOTRONA','Government','Anarchy',''
'DEA MOTRONA','Population','manual Number','62733'
'DEA MOTRONA','Security','Medium',''
'DEILI','Allegiance','Federation',''
'DEILI','Economy','Extraction',''
'DEILI','Government','Confederacy',''
'DEILI','Population','manual Number','1801'
'DEILI','Security','Low',''
'DJUHTI','Allegiance','Anarchy',''
'DJUHTI','Economy','Tourism',''
'DJUHTI','Government','Anarchy',''
'DJUHTI','Population','manual Number','462566'
'DJUHTI','Security','Low',''
'DOMOIRENE','Allegiance','Independent',''
'DOMOIRENE','Economy','Extraction',''
'DOMOIRENE','Economy','Industrial',''
'DOMOIRENE','Government','Democracy',''
'DOMOIRENE','Population','manual Number','67798810'
'DOMOIRENE','Security','High',''
'ETA DRACONIS','Allegiance','Independent',''
'ETA DRACONIS','Economy','Agriculture',''
'ETA DRACONIS','Economy','Extraction',''
'ETA DRACONIS','Government','Democracy',''
'ETA DRACONIS','Population','manual Number','755373775'
'ETA DRACONIS','Security','Medium',''
'G 166-21','Allegiance','Anarchy',''
'G 166-21','Economy','Industrial',''
'G 166-21','Economy','Refinery',''
'G 166-21','Government','Anarchy',''
'G 166-21','Population','manual Number','5836985'
'G 166-21','Security','Medium',''
'G 239-25','Allegiance','Federation',''
'G 239-25','Economy','Extraction',''
'G 239-25','Government','Confederacy',''
'G 239-25','Population','manual Number','2500'
'G 239-25','Security','Low',''
'G 240-11','Allegiance','Alliance',''
'G 240-11','Economy','Agriculture',''
'G 240-11','Economy','Industrial',''
'G 240-11','Government','Democracy',''
'G 240-11','Population','manual Number','1051204800'
'G 240-11','Security','High',''
'GALITINI','Allegiance','Independent',''
'GALITINI','Economy','Extraction',''
'GALITINI','Economy','Refinery',''
'GALITINI','Government','Patronage',''
'GALITINI','Population','manual Number','79210'
'GALITINI','Security','Low',''
'GENDINI','Allegiance','Federation',''
'GENDINI','Economy','Extraction',''
'GENDINI','Economy','Refinery',''
'GENDINI','Government','Corporate',''
'GENDINI','Population','manual Number','74523'
'GENDINI','Security','Low',''
'GLIESE 563.1','Allegiance','Federation',''
'GLIESE 563.1','Economy','Industrial',''
'GLIESE 563.1','Economy','Refinery',''
'GLIESE 563.1','Government','Democracy',''
'GLIESE 563.1','Population','manual Number','10008120'
'GLIESE 563.1','Security','High',''
'GLIESE 9312','Allegiance','Federation',''
'GLIESE 9312','Economy','Refinery',''
'GLIESE 9312','Government','Corporate',''
'GLIESE 9312','Population','manual Number','13647'
'GLIESE 9312','Security','Low',''
'GUDU','Allegiance','Independent',''
'GUDU','Economy','Industrial',''
'GUDU','Government','Democracy',''
'GUDU','Population','manual Number','3530032'
'GUDU','Security','Medium',''
'HAIDJARAM','Allegiance','Federation',''
'HAIDJARAM','Economy','Agriculture',''
'HAIDJARAM','Economy','Industrial',''
'HAIDJARAM','Government','Democracy',''
'HAIDJARAM','Population','manual Number','809782189'
'HAIDJARAM','Security','High',''
'HELVETITJ','Allegiance','Independent',''
'HELVETITJ','Economy','Agriculture',''
'HELVETITJ','Economy','Tourism',''
'HELVETITJ','Government','Democracy',''
'HELVETITJ','Population','manual Number','803484839'
'HELVETITJ','Security','Medium',''
'HIP 48786','Allegiance','Independent',''
'HIP 48786','Economy','Extraction',''
'HIP 48786','Economy','Refinery',''
'HIP 48786','Government','Corporate',''
'HIP 48786','Population','manual Number','53510'
'HIP 48786','Security','Low',''
'HIP 88617','Allegiance','Federation',''
'HIP 88617','Economy','Agriculture',''
'HIP 88617','Economy','Tourism',''
'HIP 88617','Government','Democracy',''
'HIP 88617','Population','manual Number','1521547138'
'HIP 88617','Security','Medium',''
'HO BOOTIS','Allegiance','Independent',''
'HO BOOTIS','Economy','Extraction',''
'HO BOOTIS','Economy','Refinery',''
'HO BOOTIS','Government','Patronage',''
'HO BOOTIS','Population','manual Number','61631'
'HO BOOTIS','Security','Low',''
'HR 5156','Allegiance','Federation',''
'HR 5156','Economy','Agriculture',''
'HR 5156','Economy','Tourism',''
'HR 5156','Government','Democracy',''
'HR 5156','Population','manual Number','506774026'
'HR 5156','Security','Medium',''
'HR 5243','Allegiance','Alliance',''
'HR 5243','Economy','Extraction',''
'HR 5243','Economy','Refinery',''
'HR 5243','Government','Democracy',''
'HR 5243','Population','manual Number','365094'
'HR 5243','Security','Medium',''
'IV COMAE BERENICES','Allegiance','Independent',''
'IV COMAE BERENICES','Economy','High Tech',''
'IV COMAE BERENICES','Economy','Refinery',''
'IV COMAE BERENICES','Government','Corporate',''
'IV COMAE BERENICES','Population','manual Number','11607325'
'IV COMAE BERENICES','Security','Medium',''
'IYAKA','Allegiance','Alliance',''
'IYAKA','Economy','Extraction',''
'IYAKA','Economy','Refinery',''
'IYAKA','Government','Dictatorship',''
'IYAKA','Population','manual Number','175084'
'IYAKA','Security','Medium',''
'JAITYATA','Allegiance','Federation',''
'JAITYATA','Economy','Extraction',''
'JAITYATA','Economy','Refinery',''
'JAITYATA','Government','Corporate',''
'JAITYATA','Population','manual Number','185011'
'JAITYATA','Security','Medium',''
'JAMBIN','Allegiance','Independent',''
'JAMBIN','Economy','Tourism',''
'JAMBIN','Government','Feudal',''
'JAMBIN','Population','manual Number','353391'
'JAMBIN','Security','Low',''
'JINGPO','Allegiance','Federation',''
'JINGPO','Economy','Extraction',''
'JINGPO','Economy','Refinery',''
'JINGPO','Government','Confederacy',''
'JINGPO','Population','manual Number','51954'
'JINGPO','Security','Low',''
'KANNICAS','Allegiance','Independent',''
'KANNICAS','Economy','Extraction',''
'KANNICAS','Economy','Industrial',''
'KANNICAS','Government','Corporate',''
'KANNICAS','Population','manual Number','16437945'
'KANNICAS','Security','Medium',''
'KASHIGAUT','Allegiance','Federation',''
'KASHIGAUT','Economy','Extraction',''
'KASHIGAUT','Economy','Refinery',''
'KASHIGAUT','Government','Democracy',''
'KASHIGAUT','Population','manual Number','22125'
'KASHIGAUT','Security','Medium',''
'KEBEGHENGI','Allegiance','Anarchy',''
'KEBEGHENGI','Economy','Extraction',''
'KEBEGHENGI','Government','Anarchy',''
'KEBEGHENGI','Population','manual Number','2427'
'KEBEGHENGI','Security','Low',''
'KHAKHA','Allegiance','Federation',''
'KHAKHA','Economy','Extraction',''
'KHAKHA','Economy','Refinery',''
'KHAKHA','Government','Democracy',''
'KHAKHA','Population','manual Number','123917'
'KHAKHA','Security','Medium',''
'KIRIBALNGU','Allegiance','Federation',''
'KIRIBALNGU','Economy','Refinery',''
'KIRIBALNGU','Government','Corporate',''
'KIRIBALNGU','Population','manual Number','21338'
'KIRIBALNGU','Security','Low',''
'KOKOI','Allegiance','Independent',''
'KOKOI','Economy','Extraction',''
'KOKOI','Government','Corporate',''
'KOKOI','Population','manual Number','3530'
'KOKOI','Security','Low',''
'KONGWA','Allegiance','Alliance',''
'KONGWA','Economy','Industrial',''
'KONGWA','Government','Anarchy',''
'KONGWA','Population','manual Number','3748462'
'KONGWA','Security','Low',''
'KORRING','Allegiance','Anarchy',''
'KORRING','Economy','Extraction',''
'KORRING','Economy','Refinery',''
'KORRING','Government','Anarchy',''
'KORRING','Population','manual Number','98085'
'KORRING','Security','Low',''
'KURRAMA','Allegiance','Independent',''
'KURRAMA','Economy','Industrial',''
'KURRAMA','Government','Confederacy',''
'KURRAMA','Population','manual Number','2315320'
'KURRAMA','Security','Low',''
'LENORE','Allegiance','Federation',''
'LENORE','Economy','Extraction',''
'LENORE','Economy','Industrial',''
'LENORE','Government','Democracy',''
'LENORE','Population','manual Number','11544141'
'LENORE','Security','Medium',''
'LEUCING','Allegiance','Alliance',''
'LEUCING','Economy','Extraction',''
'LEUCING','Economy','Industrial',''
'LEUCING','Government','Communism',''
'LEUCING','Population','manual Number','36767206'
'LEUCING','Security','High',''
'LHS 2931','Allegiance','Alliance',''
'LHS 2931','Economy','High Tech',''
'LHS 2931','Economy','Refinery',''
'LHS 2931','Government','Corporate',''
'LHS 2931','Population','manual Number','8836516'
'LHS 2931','Security','Medium',''
'LHS 2983','Allegiance','Independent',''
'LHS 2983','Economy','Extraction',''
'LHS 2983','Economy','Refinery',''
'LHS 2983','Government','Corporate',''
'LHS 2983','Population','manual Number','105892'
'LHS 2983','Security','Low',''
'LHS 3006','Allegiance','Federation',''
'LHS 3006','Economy','Extraction',''
'LHS 3006','Economy','Refinery',''
'LHS 3006','Government','Confederacy',''
'LHS 3006','Population','manual Number','11999'
'LHS 3006','Security','Low',''
'LOSNA','Allegiance','Independent',''
'LOSNA','Economy','Extraction',''
'LOSNA','Economy','Refinery',''
'LOSNA','Government','Corporate',''
'LOSNA','Population','manual Number','36092'
'LOSNA','Security','Low',''
'LP 375-23','Allegiance','Federation',''
'LP 375-23','Economy','Extraction',''
'LP 375-23','Economy','Refinery',''
'LP 375-23','Government','Democracy',''
'LP 375-23','Population','manual Number','75037'
'LP 375-23','Security','Medium',''
'LP 376-62','Allegiance','Alliance',''
'LP 376-62','Economy','Extraction',''
'LP 376-62','Government','Cooperative',''
'LP 376-62','Population','manual Number','3170'
'LP 376-62','Security','Medium',''
'LP 377-78','Allegiance','Independent',''
'LP 377-78','Economy','Agriculture',''
'LP 377-78','Economy','Refinery',''
'LP 377-78','Government','Democracy',''
'LP 377-78','Population','manual Number','3008914053'
'LP 377-78','Security','High',''
'LP 560-66','Allegiance','Federation',''
'LP 560-66','Economy','Extraction',''
'LP 560-66','Economy','Refinery',''
'LP 560-66','Government','Confederacy',''
'LP 560-66','Population','manual Number','22616'
'LP 560-66','Security','Low',''
'LTT 12874','Allegiance','Federation',''
'LTT 12874','Economy','Extraction',''
'LTT 12874','Economy','Refinery',''
'LTT 12874','Government','Corporate',''
'LTT 12874','Population','manual Number','19302'
'LTT 12874','Security','Low',''
'LTT 14437','Allegiance','Alliance',''
'LTT 14437','Economy','Extraction',''
'LTT 14437','Economy','Refinery',''
'LTT 14437','Government','Democracy',''
'LTT 14437','Population','manual Number','29737'
'LTT 14437','Security','Medium',''
'LTT 5873','Allegiance','Federation',''
'LTT 5873','Economy','Extraction',''
'LTT 5873','Economy','Refinery',''
'LTT 5873','Government','Corporate',''
'LTT 5873','Population','manual Number','28576'
'LTT 5873','Security','Low',''
'MAFDETELA','Allegiance','Independent',''
'MAFDETELA','Economy','Refinery',''
'MAFDETELA','Government','Cooperative',''
'MAFDETELA','Population','manual Number','24537'
'MAFDETELA','Security','Medium',''
'MATA ATHI','Allegiance','Federation',''
'MATA ATHI','Economy','Extraction',''
'MATA ATHI','Economy','Refinery',''
'MATA ATHI','Government','Confederacy',''
'MATA ATHI','Population','manual Number','20680'
'MATA ATHI','Security','Low',''
'MEENATES','Allegiance','Federation',''
'MEENATES','Economy','Agriculture',''
'MEENATES','Economy','Tourism',''
'MEENATES','Government','Democracy',''
'MEENATES','Population','manual Number','4294967295'
'MEENATES','Security','Medium',''
'MONG KUNG','Allegiance','Federation',''
'MONG KUNG','Economy','Extraction',''
'MONG KUNG','Economy','Refinery',''
'MONG KUNG','Government','Corporate',''
'MONG KUNG','Population','manual Number','237521'
'MONG KUNG','Security','Medium',''
'NEVERMORE','Allegiance','Alliance',''
'NEVERMORE','Economy','Agriculture',''
'NEVERMORE','Economy','Terraforming',''
'NEVERMORE','Government','Democracy',''
'NEVERMORE','Population','manual Number','4294967295'
'NEVERMORE','Security','High',''
'QUECHE','Allegiance','Independent',''
'QUECHE','Economy','Extraction',''
'QUECHE','Economy','Refinery',''
'QUECHE','Government','Feudal',''
'QUECHE','Population','manual Number','37820'
'QUECHE','Security','Medium',''
'RAHU','Allegiance','Alliance',''
'RAHU','Economy','Extraction',''
'RAHU','Economy','Refinery',''
'RAHU','Government','Communism',''
'RAHU','Population','manual Number','53979'
'RAHU','Security','Medium',''
'ROSS 1057','Allegiance','Federation',''
'ROSS 1057','Economy','Agriculture',''
'ROSS 1057','Economy','Industrial',''
'ROSS 1057','Government','Democracy',''
'ROSS 1057','Population','manual Number','150000'
'ROSS 1057','Security','Medium',''
'SALARHUL','Allegiance','Independent',''
'SALARHUL','Economy','Agriculture',''
'SALARHUL','Economy','Terraforming',''
'SALARHUL','Government','Democracy',''
'SALARHUL','Population','manual Number','1617669403'
'SALARHUL','Security','Medium',''
'SIKI','Allegiance','Independent',''
'SIKI','Economy','Extraction',''
'SIKI','Economy','Refinery',''
'SIKI','Government','Corporate',''
'SIKI','Population','manual Number','22786'
'SIKI','Security','Low',''
'SPOCS 486','Allegiance','Independent',''
'SPOCS 486','Economy','Agriculture',''
'SPOCS 486','Economy','Terraforming',''
'SPOCS 486','Government','Democracy',''
'SPOCS 486','Population','manual Number','4294967295'
'SPOCS 486','Security','Medium',''
'SPOCS 507','Allegiance','Alliance',''
'SPOCS 507','Economy','Extraction',''
'SPOCS 507','Economy','Refinery',''
'SPOCS 507','Government','Democracy',''
'SPOCS 507','Population','manual Number','30256'
'SPOCS 507','Security','Medium',''
'TARITRA','Allegiance','Independent',''
'TARITRA','Economy','Industrial',''
'TARITRA','Government','Democracy',''
'TARITRA','Population','manual Number','3202612'
'TARITRA','Security','Medium',''
'TELIU YUAN','Allegiance','Anarchy',''
'TELIU YUAN','Economy','Extraction',''
'TELIU YUAN','Economy','Refinery',''
'TELIU YUAN','Government','Anarchy',''
'TELIU YUAN','Population','manual Number','42594'
'TELIU YUAN','Security','Low',''
'TJIALFI','Allegiance','Independent',''
'TJIALFI','Economy','Refinery',''
'TJIALFI','Government','Cooperative',''
'TJIALFI','Population','manual Number','22971'
'TJIALFI','Security','Medium',''
'TSU','Allegiance','Alliance',''
'TSU','Economy','High Tech',''
'TSU','Economy','Tourism',''
'TSU','Government','Corporate',''
'TSU','Population','manual Number','3049822'
'TSU','Security','Medium',''
'UMBROGO','Allegiance','Anarchy',''
'UMBROGO','Economy','Refinery',''
'UMBROGO','Government','Anarchy',''
'UMBROGO','Population','manual Number','13276'
'UMBROGO','Security','Low',''
'UROR','Allegiance','Federation',''
'UROR','Economy','Refinery',''
'UROR','Government','Corporate',''
'UROR','Population','manual Number','20190'
'UROR','Security','Low',''
'VELIM','Allegiance','Alliance',''
'VELIM','Economy','Extraction',''
'VELIM','Economy','Industrial',''
'VELIM','Government','Communism',''
'VELIM','Population','manual Number','14065541'
'VELIM','Security','High',''
'WAILLINGGA','Allegiance','Alliance',''
'WAILLINGGA','Economy','Extraction',''
'WAILLINGGA','Economy','Refinery',''
'WAILLINGGA','Government','Cooperative',''
'WAILLINGGA','Population','manual Number','62874'
'WAILLINGGA','Security','Medium',''
'WE GU','Allegiance','Independent',''
'WE GU','Economy','Extraction',''
'WE GU','Economy','Refinery',''
'WE GU','Government','Cooperative',''
'WE GU','Population','manual Number','43819'
'WE GU','Security','Medium',''
'WOLF 1438','Allegiance','Independent',''
'WOLF 1438','Economy','Tourism',''
'WOLF 1438','Government','Cooperative',''
'WOLF 1438','Population','manual Number','272306'
'WOLF 1438','Security','Low',''
'WOLF 517','Allegiance','Alliance',''
'WOLF 517','Economy','Extraction',''
'WOLF 517','Economy','Refinery',''
'WOLF 517','Government','Corporate',''
'WOLF 517','Population','manual Number','110459'
'WOLF 517','Security','Medium',''
'WULGAEDIA','Allegiance','Federation',''
'WULGAEDIA','Economy','Agriculture',''
'WULGAEDIA','Economy','Tourism',''
'WULGAEDIA','Government','Democracy',''
'WULGAEDIA','Population','manual Number','3141371428'
'WULGAEDIA','Security','Medium',''
'WUNJO','Allegiance','Independent',''
'WUNJO','Economy','Extraction',''
'WUNJO','Economy','Refinery',''
'WUNJO','Government','Patronage',''
'WUNJO','Population','manual Number','112885'
'WUNJO','Security','Low',''
'WYRD','Allegiance','Independent',''
'WYRD','Economy','Agriculture',''
'WYRD','Economy','Extraction',''
'WYRD','Government','Communism',''
'WYRD','Population','manual Number','27500000'
'WYRD','Security','Medium',''
'YAGHAN','Allegiance','Independent',''
'YAGHAN','Economy','Industrial',''
'YAGHAN','Economy','Refinery',''
'YAGHAN','Government','Democracy',''
'YAGHAN','Population','manual Number','12903274'
'YAGHAN','Security','High',''
