unq:name@System.system_id,unq:name,ls_from_star,blackmarket,max_pad_size,market,shipyard,outfitting,rearm,refuel,repair,planetary,modified
'BOLG','Mastracchio Park',1821,'N','M','N','N','N','Y','Y','N','N','2015-05-06 14:25:26'
'BOLG','Moxon''s Mojo',925,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-05-06 14:41:40'
'BPM 89444','al-Haytham Port',132,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-04-11 07:17:19'
'BPM 89444','Rosenberg Station',132,'Y','M','N','N','N','Y','Y','Y','N','2015-04-11 07:07:23'
'BPM 89444','Szameit Ring',93,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-04-11 07:37:24'
'BR PISCIUM','Cabrera Point',423,'N','M','Y','N','Y','Y','Y','Y','N','2015-11-22 13:00:49'
'BR PISCIUM','Trevithick Orbital',224,'N','M','Y','N','N','N','Y','Y','N','2015-11-22 12:53:17'
'BRUTHANVAN','Lovell Depot',2924,'N','M','Y','N','Y','N','Y','Y','N','2015-04-26 07:51:06'
'BYLGIT','Harrison City',2168,'N','M','Y','N','N','N','N','Y','N','2015-05-11 15:13:09'
'BYLGIT','Thornycroft Gateway',1239,'N','L','Y','Y','Y','Y','Y','Y','N','2015-05-11 14:58:07'
'CAELINUS','Moorcock Co-operative',521,'N','L','Y','Y','Y','Y','Y','Y','N','2016-06-30 21:04:48'
'CAELINUS','Tokubei Port',1882,'Y','M','Y','N','Y','N','Y','Y','N','2016-06-30 21:51:15'
'CALILI','Mitchell Port',2127,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-11-20 13:08:25'
'CD-45 973','Gotz Prospect',390,'N','M','Y','N','N','Y','Y','Y','N','2015-11-22 13:54:58'
'CD-72 190','Phillips Terminal',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'CEMIESS','MacKenzie Relay',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'CEOS','New Dawn Station',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'CERNOBOG','Henderson Port',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'CERNOBOG','Kirkwood Vision',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'CHONTANTICI','Rontgen Beacon',5313,'N','M','Y','N','Y','Y','Y','Y','N','2015-05-04 14:03:05'
'CHONTANTICI','Rzeppa Dock',1484,'N','M','Y','N','N','N','Y','Y','N','2015-05-04 10:24:27'
'CHUKCHISALK','Blalock Terminal',663,'N','M','Y','N','Y','Y','Y','Y','N','2015-04-18 16:07:36'
'CHUKCHISALK','Bose Outpost',921,'Y','M','N','N','N','Y','Y','Y','N','2015-04-18 16:21:38'
'COELRIND','Feoktistov Orbital',1610,'N','M','Y','N','Y','Y','Y','Y','N','2015-05-06 13:12:04'
'DAHAN','DAHAN 3 METALWORKS',1869,'N','M','Y','N','Y','Y','Y','Y','N','2015-05-08 14:13:54'
'DAHAN','DAHAN GATEWAY',459,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-05-08 13:49:18'
'DARUWACH','Derleth Settlement',51,'Y','M','Y','N','Y','Y','Y','Y','N','2015-05-12 12:49:09'
'DARUWACH','Sawyer Prospect',95,'Y','M','N','N','N','Y','Y','Y','N','2015-05-12 13:34:37'
'DEA MOTRONA','Pinzon Dock',1758733,'Y','M','Y','N','Y','Y','Y','Y','N','2015-04-10 16:17:21'
'DEA MOTRONA','Scalzi Beacon',21,'Y','M','N','N','Y','Y','Y','Y','N','2015-04-10 15:16:47'
'DEILI','McArthur Works',7392,'Y','M','Y','N','Y','Y','Y','N','N','2015-04-08 19:16:39'
'DISO','Bao Station',1565,'N','L','N','N','N','N','Y','Y','N','2015-05-02 09:24:50'
'DISO','Shifnalport',288,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-05-02 07:05:14'
'DJUHTI','Brunner Colony',76,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 21:34:00'
'DOMOIRENE','Bulychev Station',53,'N','L','Y','Y','Y','Y','Y','Y','N','2015-04-10 08:53:04'
'DOMOIRENE','Lasswitz Hub',607,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-04-10 09:27:35'
'DOMOIRENE','Lee Terminal',2453,'Y','M','N','N','Y','Y','Y','Y','N','2015-04-10 09:55:41'
'DOMOIRENE','Low Hub',53,'N','M','N','N','N','Y','Y','Y','N','2015-04-10 08:47:22'
'DOMOIRENE','Mitropoulos Orbital',89,'N','M','Y','N','N','Y','Y','Y','N','2015-04-10 09:08:37'
'DOMOTWA','Coke Dock',1604,'N','M','Y','N','Y','Y','Y','Y','N','2015-05-04 14:17:04'
'DORIS','Beebe Dock',291,'N','M','N','N','N','Y','Y','Y','N','2015-05-09 16:45:50'
'DORIS','Carlisle Refinery',237,'Y','M','Y','N','Y','Y','Y','N','N','2015-05-09 16:35:15'
'DT VIRGINIS','So-yeon Vision',15330,'N','M','Y','N','N','N','Y','Y','N','2015-05-06 12:34:39'
'DUMNONA','Ricci Port',322,'N','L','Y','Y','Y','Y','Y','Y','N','2016-06-19 18:30:20'
'DURINN','Converse Platform',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'DVOROTRI','Khan Settlement',50,'N','M','Y','N','N','Y','Y','Y','N','2015-05-12 17:16:16'
'DVOROTRI','Lovell Colony',29,'Y','M','Y','N','Y','Y','Y','N','N','2015-05-12 16:50:31'
'DVORSI','Chernykh Ring',30,'N','L','Y','Y','Y','Y','Y','Y','N','2015-11-22 14:30:52'
'DVORSI','Dowty Terminal',74640,'N','M','N','N','N','N','Y','N','N','2015-11-22 15:43:03'
'DVORSI','Fowler Orbital',18,'N','L','Y','Y','Y','Y','Y','Y','N','2015-11-22 14:04:20'
'DVORSI','Qureshi Vision',74631,'N','M','Y','N','N','N','Y','N','N','2015-11-22 15:38:09'
'DVORSI','Schwarzschild Port',56,'N','M','N','N','N','N','Y','N','N','2015-11-22 14:43:34'
'ENDR','Mitchell Point',130881,'N','M','Y','N','N','N','Y','N','N','2015-11-20 15:06:35'
'ENKI','Bass Port',11275,'N','M','Y','N','N','Y','Y','Y','N','2015-05-11 12:36:46'
'ENKI','McAuley Horizons',1225,'N','M','N','N','N','N','Y','Y','N','2015-05-11 12:27:36'
'ENKI','Ponce de Leon Vision',883,'N','L','Y','Y','Y','Y','Y','Y','N','2015-05-11 11:59:38'
'ERANIN','AZEBAN CITY',294,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-05-08 11:00:24'
'ERANIN','AZEBAN ORBITAL',294,'Y','M','Y','N','Y','Y','Y','Y','N','2015-05-08 10:45:44'
'ERANIN','ERANIN 4 SURVEY',2012,'N','M','Y','N','Y','Y','Y','Y','N','2015-05-08 10:24:04'
'ETA DRACONIS','Alvares Terminal',471,'N','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 11:08:09'
'ETA DRACONIS','Dietz Orbital',980,'N','M','N','N','N','N','Y','Y','N','2015-03-28 10:56:45'
'ETA DRACONIS','Fisk Port',590,'N','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 10:44:02'
'ETA DRACONIS','Fozard Hub',1440,'N','M','Y','N','N','N','Y','Y','N','2015-03-28 11:28:37'
'ETA DRACONIS','Irens Hub',1446,'N','M','N','N','N','N','Y','Y','N','2015-03-28 11:22:22'
'ETA DRACONIS','Pelt Hub',762,'N','M','Y','N','Y','N','Y','Y','N','2015-03-28 10:30:06'
'ETA DRACONIS','Swift Terminal',12264,'N','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 11:47:49'
'EXIOCE','Fort Lawrence',234,'N','L','Y','Y','Y','Y','Y','Y','N','2016-06-30 16:52:43'
'EXIOCE','Macmillan Depot',230,'N','L','Y','Y','Y','Y','Y','Y','N','2016-06-30 16:33:16'
'EXIOCE','Miller Terminal',295,'N','L','Y','Y','Y','Y','Y','Y','N','2016-06-30 17:03:36'
'FORTUNA','Smith Terminal',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'G 14-6','Humboldt Dock',1094,'N','M','Y','N','Y','Y','Y','Y','N','2015-05-05 18:43:45'
'G 14-6','Knipling Refinery',835,'N','M','Y','N','Y','Y','Y','Y','N','2015-05-05 19:04:47'
'G 166-21','Bokeili Dock',605,'Y','M','Y','N','Y','Y','Y','N','N','2015-03-28 18:41:38'
'G 166-21','Lagrange Dock',466,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 19:00:52'
'G 239-25','Bresnik Mine',32,'Y','L','Y','N','N','Y','Y','Y','N','2015-03-15 17:36:30'
'G 240-11','Asher Station',227925,'N','M','Y','N','N','Y','Y','Y','N','2015-03-28 09:17:24'
'G 240-11','Bailey Hub',227440,'N','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 10:08:35'
'G 240-11','Lehtonen Enterprise',2315,'N','M','Y','N','N','N','Y','Y','N','2015-03-28 08:27:08'
'G 240-11','Meredith Gateway',227707,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 09:30:19'
'G 240-11','Smith Ring',1805,'N','M','Y','N','Y','Y','Y','Y','N','2015-03-28 08:13:03'
'G 240-11','Thompson Gateway',228004,'N','M','Y','N','N','N','Y','N','N','2015-03-28 09:04:02'
'G 240-11','Walker Hub',227440,'N','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 09:56:27'
'G 250-34','Porges Horizons',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'G 89-32','Conrad Holdings',1816,'Y','M','Y','N','Y','Y','Y','Y','N','2016-06-19 19:05:33'
'GALITINI','Stillman Estate',2330,'N','M','Y','N','N','N','Y','N','N','2015-04-12 18:09:53'
'GALITINI','Wafer Outpost',4031,'N','M','Y','N','N','N','Y','Y','N','2015-04-12 18:22:02'
'GENDINI','Bell Terminal',18,'Y','M','Y','N','Y','Y','Y','N','N','2015-03-24 20:00:41'
'GENDINI','Chu Hub',10,'N','M','Y','N','N','N','Y','Y','N','2015-03-24 20:12:50'
'GLIESE 563.1','Brand Enterprise',328,'N','M','Y','N','N','N','Y','N','N','2015-03-28 16:52:08'
'GLIESE 563.1','Matteucci Ring',328,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-28 16:38:37'
'GLIESE 9312','Wingqvist Plant',290431,'N','M','Y','N','N','N','Y','Y','N','2015-04-14 17:25:08'
'GUDU','Aguirre Enterprise',11929,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-27 11:03:43'
'HAIDJARAM','Borlaug Station',377,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-25 20:14:08'
'HAIDJARAM','Garay Port',377,'N','M','Y','N','Y','N','N','Y','N','2015-03-25 19:13:34'
'HAIDJARAM','Laval Orbital',376,'N','L','Y','Y','Y','Y','Y','Y','N','2015-03-25 20:05:14'
'HAIDJARAM','Lu Ring',120,'N','M','Y','N','Y','Y','Y','Y','N','2015-03-25 19:24:53'
'HAIDJARAM','Remek City',162,'N','M','Y','N','N','N','Y','N','N','2015-03-25 19:31:58'
'HAIDJARAM','Voss Gateway',292,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-25 19:45:27'
'HELVETITJ','Friend Orbital',445,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-04-09 17:00:47'
'HIP 20524','Marcy Enterprise',2114,'N','L','Y','?','Y','Y','Y','Y','N','2015-11-13 08:55:08'
'HIP 48786','Beaumont Vision',3802,'N','M','Y','N','N','N','Y','Y','N','2015-04-14 18:16:44'
'HIP 48786','Smith Installation',5303,'Y','M','Y','N','Y','Y','Y','N','N','2015-04-14 18:33:18'
'HIP 55118','Bogdanov Ring',1041,'N','M','Y','N','Y','Y','Y','Y','N','2015-11-20 14:25:11'
'HIP 55118','Drzewiecki Market',403,'N','L','Y','Y','Y','Y','Y','Y','N','2015-11-20 14:33:03'
'HIP 55118','Gunn Hub',765,'N','M','Y','N','N','N','Y','Y','N','2015-11-20 13:56:31'
'HIP 55118','Hermite Port',227,'N','M','Y','N','N','N','Y','N','N','2015-11-20 13:26:16'
'HIP 55118','Julian Enterprise',556,'N','L','Y','Y','Y','Y','Y','Y','N','2015-11-20 13:47:09'
'HIP 55118','Lopez de Villalobos Enterprise',558,'N','L','Y','Y','Y','Y','Y','Y','N','2015-11-20 13:41:08'
'HIP 55118','Roberts City',1038,'N','M','Y','N','N','N','Y','Y','N','2015-11-20 14:03:12'
'HIP 56930','Schlegel Station',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'HIP 8396','Stepping Stone Base',4131,'N','M','Y','N','N','Y','Y','Y','N','2015-11-15 15:19:08'
'HIP 88617','Cenker City',357,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-27 19:50:28'
'HIP 88617','Stephenson Station',398683,'N','L','Y','Y','Y','Y','Y','Y','N','2015-03-27 20:22:43'
'HO BOOTIS','Altshuller Port',2287,'N','M','Y','N','N','Y','Y','Y','N','2015-04-10 12:22:38'
'HO BOOTIS','Ore Platform',1153,'N','M','Y','N','N','N','Y','Y','N','2015-04-10 12:01:24'
'HOLIACAN','Fortress Yarrow',124,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-05-10 22:06:22'
'HOLIACAN','Hopi',38,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-05-10 22:18:01'
'HOLIACAN','Melbourne',74,'N','L','Y','Y','Y','Y','Y','Y','N','2015-05-10 18:12:40'
'HR 4548','Acaba Station',2305,'Y','M','Y','N','Y','Y','Y','N','N','2015-04-24 18:31:03'
'HR 5156','Bose Terminal',967,'Y','M','Y','N','Y','Y','Y','N','N','2015-03-29 17:10:34'
'HR 5156','Herrington Orbital',1257,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-03-29 17:32:46'
'HR 5156','Siemens Port',1642,'Y','M','Y','N','Y','Y','Y','N','N','2015-03-29 17:20:47'
'HR 5243','Holdstock Platform',190,'N','M','Y','N','N','N','Y','N','N','2015-04-10 19:33:41'
'HR 5243','Paulo da Gama Station',105,'N','M','Y','N','N','Y','Y','Y','N','2015-04-10 18:57:13'
'HR 5243','Shaikh Terminal',152,'Y','M','Y','N','Y','Y','Y','N','N','2015-04-10 19:10:16'
'IPILYAQA','Bracewell Ring',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'IPILYAQA','Furuta Orbital',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'IV COMAE BERENICES','Litke Dock',2105,'N','L','Y','Y','Y','Y','Y','Y','N','2015-04-11 19:48:28'
'IX','Scully-Power Station',98,'N','L','Y','Y','Y','Y','Y','Y','N','2015-11-15 11:43:29'
'IYAKA','Barth Prospect',36,'N','M','Y','N','N','N','Y','Y','N','2015-04-09 19:01:29'
'IYAKA','Giles Landing',25,'N','M','Y','N','N','Y','Y','Y','N','2015-04-09 18:44:02'
'JAITYATA','Lorenz Horizons',10717,'N','M','Y','N','N','N','Y','Y','N','2015-04-03 20:51:26'
'JAITYATA','Mayer Installation',113,'N','M','Y','N','N','Y','Y','Y','N','2015-04-03 20:16:32'
'JAMAPA','Lessing Depot',7667,'N','M','Y','N','N','Y','Y','Y','N','2015-11-15 11:25:22'
'JAMBIN','Chiang Prospect',522,'N','L','Y','Y','Y','Y','Y','Y','N','2015-03-29 19:01:09'
'JAOI','Soto Dock',317,'N','L','Y','Y','Y','Y','Y','Y','N','2015-05-12 14:54:01'
'JAOI','Thompson Terminal',433,'N','M','Y','N','Y','Y','Y','Y','N','2015-05-12 14:37:17'
'JAOI','Weyl Orbital',237,'Y','M','Y','N','Y','Y','Y','N','N','2015-05-12 14:09:12'
'JINGPO','Alcala Colony',128,'N','M','Y','N','N','N','Y','Y','N','2015-04-19 16:34:31'
'JINGPO','Hire Prospect',90,'N','M','Y','N','N','N','Y','Y','N','2015-04-19 16:53:40'
'KAANA','Fuca Platform',996,'Y','M','Y','N','Y','Y','Y','Y','N','2015-05-11 20:14:21'
'KANNICAS','Friend Terminal',648,'N','M','Y','N','Y','Y','Y','Y','N','2015-04-03 11:21:07'
'KANNICAS','Morrison Orbital',648,'Y','M','N','N','Y','Y','Y','Y','N','2015-04-03 10:58:19'
'KANNICAS','Pullman City',659,'N','L','Y','Y','Y','Y','Y','Y','N','2015-04-03 11:06:54'
'KAPPA FORNACIS','Harvestport',918,'N','L','Y','Y','Y','Y','Y','Y','N','2015-11-19 21:17:37'
'KAPPA FORNACIS','Tshang Enterprise',2014,'N','M','N','N','N','N','Y','Y','N','2015-11-20 18:30:23'
'KARKA','Chandler Ring',11,'Y','L','Y','Y','Y','Y','Y','Y','N','2016-06-21 19:46:10'
'KASHIGAUT','Reisman Platform',2681,'N','M','Y','N','N','N','Y','Y','N','2015-04-14 20:36:42'
'KASHIGAUT','Sevastyanov Settlement',326,'N','M','Y','N','Y','N','Y','Y','N','2015-04-14 20:19:32'
'KAUSHPOOS','Neville Horizons',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'KEBEGHENGI','Jordan''s Exile',83,'Y','M','Y','N','Y','Y','Y','N','N','2015-03-20 18:32:40'
'KERENG DIMANI','Bradshaw Relay',357,'N','M','Y','N','Y','Y','Y','Y','N','2015-11-13 20:44:59'
'KHAKHA','Ramsay Dock',37,'N','M','N','N','Y','N','Y','Y','N','2015-04-03 08:27:49'
'KHAKHA','Strekalov Settlement',28,'N','M','Y','N','N','N','Y','Y','N','2015-04-03 08:38:28'
'KIPSIGI','Marley Terminal',110,'N','M','Y','N','N','N','Y','Y','N','2015-05-12 18:40:08'
'KIRIBALNGU','Kinsey Horizons',14405,'N','M','Y','N','Y','Y','Y','Y','N','2015-04-24 15:21:35'
'KOKOI','Chun Stop',1136,'N','M','Y','N','Y','Y','Y','Y','N','2015-04-18 16:48:14'
'KONGWA','Weiss Dock',2996,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-04-19 11:24:15'
'KORRING','Barbosa Prospect',23,'Y','M','Y','N','Y','Y','Y','N','N','2015-03-30 16:37:37'
'KORRING','Vespucci Refinery',13,'Y','M','Y','N','N','Y','Y','Y','N','2015-03-30 17:04:42'
'KORRO KUNG','DeLucas City',821,'N','M','Y','N','N','Y','Y','Y','N','2015-04-24 19:29:43'
'KORRO KUNG','Lonchakov Orbital',622058,'N','L','Y','Y','Y','Y','Y','Y','N','2015-04-25 10:16:26'
'KOYERIS','Fernandes Port',0,'?','?','Y','?','?','?','?','?','N','2015-11-06 09:54:33'
'KURRAMA','Phillips Orbital',229533,'Y','L','Y','Y','Y','Y','Y','Y','N','2015-04-05 10:19:42'
'LAIAWAWAL','Roberts Port',5473,'N','L','Y','Y','Y','Y','Y','Y','N','2015-05-11 10:16:05'
'LAWD 52','Coles Gateway',1323,'N','M','Y','N','N','N','Y','N','N','2015-05-10 22:41:52'
